AMC,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,Fund Manager,AUM,Category,Risk
1,4,3,7.29,57.83,20.43,14.07,100,70,327054,1,11
1,0,0,1.76,11.11,0.0,0.0,100,71,19656,3,11
1,1,0,3.8,31.7,28.67,9.34,100,71,20183,3,11
1,4,0,3.36,24.17,22.3,4.63,100,71,24039,3,11
1,0,0,0.98,10.68,0.0,0.0,100,71,8425,3,11
1,0,0,0.0,35.79,0.0,0.0,1000,71,1304,1,11
1,2,0,5.8,35.33,16.19,4.71,1000,71,19183,1,11
1,0,0,4.06,13.32,26.67,0.0,500,71,38167,3,11
1,0,0,4.59,14.11,25.55,0.0,100,72,358233,2,11
1,2,1,1.55,20.9,10.99,5.97,100,72,60226,2,6
1,0,2,5.37,32.38,54.04,17.62,100,72,86261,1,9
1,0,1,5.04,18.43,26.54,11.64,500,72,11548,3,11
1,0,0,0.62,12.57,6.26,3.68,500,72,1596,3,6
1,0,1,2.13,14.01,12.71,6.88,500,72,2664,3,8
1,0,1,6.06,20.05,33.13,14.06,500,72,40959,3,11
9,0,0,1.13,11.97,9.79,0.0,100,73,100046,3,6
9,0,0,0.56,10.93,7.47,0.0,100,73,105244,2,2
9,0,4,0.52,18.38,7.68,6.06,100,73,1230473,2,2
9,0,0,0.76,11.57,8.41,0.0,100,73,17713,3,6
9,4,0,4.34,62.2,33.94,18.94,100,73,207712,2,7
9,4,5,4.35,62.86,33.94,18.82,100,73,207712,2,7
9,0,0,1.13,11.54,9.24,0.0,100,73,220906,3,6
9,5,2,0.96,23.1,7.92,5.4,100,73,27135,0,6
9,0,0,0.64,11.62,7.8,0.0,100,73,303607,3,4
9,0,0,1.44,11.8,9.28,0.0,100,73,445703,3,6
9,0,0,0.93,12.56,8.65,6.1,100,73,456648,3,6
9,0,0,0.67,12.33,7.32,5.01,100,73,469435,3,4
9,3,4,2.37,23.97,17.28,9.55,100,73,47171,2,6
9,0,0,0.05,14.04,8.26,6.2,100,73,683084,3,6
9,4,0,0.54,23.0,6.78,5.18,100,73,72174,0,4
9,3,2,0.54,26.88,6.79,5.18,100,73,72174,0,4
9,0,0,0.55,11.43,7.31,0.0,100,73,83763,3,4
9,0,0,0.57,12.2,7.41,5.11,100,73,92844,3,4
9,0,0,0.64,11.53,8.02,0.0,100,73,9483,3,4
9,0,0,0.0,12.31,0.0,0.0,500,73,31963,3,2
26,0,0,2.71,10.23,0.0,0.0,500,74,20083,1,11
26,0,0,0.5,1125.69,6.41,0.0,500,74,6957,0,2
26,0,0,2.65,15.12,45.38,0.0,500,74,8917,1,11
14,5,4,6.91,127.93,38.72,17.08,100,75,97828,1,1
14,1,0,0.02,65.98,70.84,35.82,500,75,159341,1,11
22,2,2,1.19,54.34,9.64,7.86,100,76,82574,2,0
5,4,4,8.16,50.66,52.18,26.47,1000,77,14223,1,12
5,2,2,3.83,16.8,38.84,14.7,1000,77,19189,1,11
11,0,0,8.08,16.24,0.0,0.0,100,78,116959,1,11
11,0,0,10.13,14.59,45.1,0.0,100,78,131994,1,11
11,0,0,3.61,11.21,0.0,0.0,100,78,1327818,1,11
27,0,0,0.61,11.51,7.65,0.0,500,79,1023451,3,4
27,0,0,0.69,11.54,8.35,0.0,500,79,10960,3,4
